year,month,day,electiontype,office,num candidates,percent winner won with
2020,6,2,primary,County Committeeman MCCANDLESS WARD 5 DIST 2,2,0.9942196531791907
2020,6,2,primary,County Committeeman MCCANDLESS WARD 5 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MCCANDLESS WARD 6 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MCCANDLESS WARD 6 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MCCANDLESS WARD 6 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MCCANDLESS WARD 7 DIST 1,2,0.9841269841269841
2020,6,2,primary,County Committeeman MCCANDLESS WARD 7 DIST 2,2,0.9878048780487805
2020,6,2,primary,County Committeeman MCCANDLESS WARD 7 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MCDONALD,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 3 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 5,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 7 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 7 DIST 4,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 7 DIST 5,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 7 DIST 6,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 8 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 8 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 8 DIST 4,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 8 DIST 6,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 9 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 9 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 10 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 10 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 11 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 11 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 11 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MCKEESPORT WARD 12 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MCKEES ROCKS WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MCKEES ROCKS WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MCKEES ROCKS WARD 2 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MCKEES ROCKS WARD 3 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MCKEES ROCKS WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MCKEES ROCKS WARD 3 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MILLVALE DIST 1,1,1.0
2020,6,2,primary,County Committeeman MILLVALE DIST 2,1,1.0
2020,6,2,primary,County Committeeman MILLVALE DIST 3,1,1.0
2020,6,2,primary,County Committeeman MILLVALE DIST 4,1,1.0
2020,6,2,primary,County Committeeman MILLVALE DIST 5,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 1 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 1 DIST 4,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 2 DIST 1,2,0.9662921348314607
2020,6,2,primary,County Committeeman MONROEVILLE WARD 2 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 2 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 3 DIST 1,2,0.9858156028368794
2020,6,2,primary,County Committeeman MONROEVILLE WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 3 DIST 3,2,0.9821428571428571
2020,6,2,primary,County Committeeman MONROEVILLE WARD 4 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 4 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 4 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 5 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 5 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 5 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 5 DIST 4,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 6 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 6 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 6 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 6 DIST 4,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 7 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 7 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MONROEVILLE WARD 7 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MOON DIST 1,1,1.0
2020,6,2,primary,County Committeeman MOON DIST 2,2,0.9812734082397003
2020,6,2,primary,County Committeeman MOON DIST 3,1,1.0
2020,6,2,primary,County Committeeman MOON DIST 4,1,1.0
2020,6,2,primary,County Committeeman MOON DIST 5,2,0.9933554817275747
2020,6,2,primary,County Committeeman MOON DIST 6,2,0.9967105263157895
2020,6,2,primary,County Committeeman MOON DIST 7,2,0.9850746268656716
2020,6,2,primary,County Committeeman MOON DIST 8,1,1.0
2020,6,2,primary,County Committeeman MOON DIST 9,2,0.9913793103448276
2020,6,2,primary,County Committeeman MOON DIST 10,1,1.0
2020,6,2,primary,County Committeeman MOON DIST 11,2,0.9893048128342246
2020,6,2,primary,County Committeeman MOON DIST 12,1,1.0
2020,6,2,primary,County Committeeman MOON DIST 13,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 1 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 1 DIST 4,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 1 DIST 5,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 1 DIST 6,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 1 DIST 7,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 2 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 2 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 2 DIST 4,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 2 DIST 5,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 2 DIST 6,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 2 DIST 7,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 2 DIST 8,2,0.991869918699187
2020,6,2,primary,County Committeeman MT LEBANON WARD 3 DIST 1,2,0.9836065573770492
2020,6,2,primary,County Committeeman MT LEBANON WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 3 DIST 3,2,0.9722222222222222
2020,6,2,primary,County Committeeman MT LEBANON WARD 3 DIST 4,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 3 DIST 6,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 3 DIST 7,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 3 DIST 8,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 4 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 4 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 4 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 4 DIST 4,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 4 DIST 5,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 4 DIST 6,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 4 DIST 7,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 5 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 5 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 5 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 5 DIST 4,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 5 DIST 5,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 5 DIST 6,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 5 DIST 7,1,1.0
2020,6,2,primary,County Committeeman MT LEBANON WARD 5 DIST 8,1,1.0
2020,6,2,primary,County Committeeman MT OLIVER DIST 1,1,1.0
2020,6,2,primary,County Committeeman MT OLIVER DIST 2,1,1.0
2020,6,2,primary,County Committeeman MUNHALL DIST 1,1,1.0
2020,6,2,primary,County Committeeman MUNHALL DIST 2,1,1.0
2020,6,2,primary,County Committeeman MUNHALL DIST 3,1,1.0
2020,6,2,primary,County Committeeman MUNHALL DIST 4,1,1.0
2020,6,2,primary,County Committeeman MUNHALL DIST 5,1,1.0
2020,6,2,primary,County Committeeman MUNHALL DIST 6,1,1.0
2020,6,2,primary,County Committeeman MUNHALL DIST 7,1,1.0
2020,6,2,primary,County Committeeman MUNHALL DIST 8,1,1.0
2020,6,2,primary,County Committeeman MUNHALL DIST 9,1,1.0
2020,6,2,primary,County Committeeman MUNHALL DIST 10,1,1.0
2020,6,2,primary,County Committeeman MUNHALL DIST 11,1,1.0
2020,6,2,primary,County Committeeman MUNHALL DIST 12,1,1.0
2020,6,2,primary,County Committeeman NEVILLE WARD 1,1,1.0
2020,6,2,primary,County Committeeman NEVILLE WARD 3,1,1.0
2020,6,2,primary,County Committeeman N BRADDOCK WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman N BRADDOCK WARD 1 DIST 3,1,1.0
2020,6,2,primary,County Committeeman N BRADDOCK WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman N FAYETTE DIST 1,2,0.9922178988326849
2020,6,2,primary,County Committeeman N FAYETTE DIST 2,1,1.0
2020,6,2,primary,County Committeeman N FAYETTE DIST 3,1,1.0
2020,6,2,primary,County Committeeman N FAYETTE DIST 4,1,1.0
2020,6,2,primary,County Committeeman N FAYETTE DIST 5,1,1.0
2020,6,2,primary,County Committeeman N VERSAILLES WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman N VERSAILLES WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman N VERSAILLES WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman N VERSAILLES WARD 2 DIST 2,1,1.0
2020,6,2,primary,County Committeeman N VERSAILLES WARD 3 DIST 1,1,1.0
2020,6,2,primary,County Committeeman N VERSAILLES WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman N VERSAILLES WARD 4 DIST 1,1,1.0
2020,6,2,primary,County Committeeman N VERSAILLES WARD 4 DIST 2,1,1.0
2020,6,2,primary,County Committeeman N VERSAILLES WARD 5 DIST 1,1,1.0
2020,6,2,primary,County Committeeman N VERSAILLES WARD 5 DIST 2,1,1.0
2020,6,2,primary,County Committeeman N VERSAILLES WARD 6 DIST 1,1,1.0
2020,6,2,primary,County Committeeman N VERSAILLES WARD 6 DIST 2,1,1.0
2020,6,2,primary,County Committeeman N VERSAILLES WARD 7,1,1.0
2020,6,2,primary,County Committeeman OAKDALE DIST 1,2,0.9692307692307692
2020,6,2,primary,County Committeeman OAKDALE DIST 2,1,1.0
2020,6,2,primary,County Committeeman OAKMONT DIST 1,1,1.0
2020,6,2,primary,County Committeeman OAKMONT DIST 2,1,1.0
2020,6,2,primary,County Committeeman OAKMONT DIST 3,1,1.0
2020,6,2,primary,County Committeeman OAKMONT DIST 4,1,1.0
2020,6,2,primary,County Committeeman OAKMONT DIST 5,1,1.0
2020,6,2,primary,County Committeeman OAKMONT DIST 6,1,1.0
2020,6,2,primary,County Committeeman OHARA WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman OHARA WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman OHARA WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman OHARA WARD 2 DIST 2,1,1.0
2020,6,2,primary,County Committeeman OHARA WARD 3 DIST 1,1,1.0
2020,6,2,primary,County Committeeman OHARA WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman OHARA WARD 4 DIST 1,1,1.0
2020,6,2,primary,County Committeeman OHARA WARD 4 DIST 2,1,1.0
2020,6,2,primary,County Committeeman OHARA WARD 5 DIST 1,1,1.0
2020,6,2,primary,County Committeeman OHARA WARD 5 DIST 2,1,1.0
2020,6,2,primary,County Committeeman OHIO DIST 1,1,1.0
2020,6,2,primary,County Committeeman OHIO DIST 2,1,1.0
2020,6,2,primary,County Committeeman OHIO DIST 3,1,1.0
2020,6,2,primary,County Committeeman GLEN OSBORNE,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 1 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 2 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 2 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 3 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 3 DIST 2,2,0.9411764705882353
2020,6,2,primary,County Committeeman PENN HILLS WARD 3 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 3 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 3 DIST 5,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 3 DIST 6,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 4 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 4 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 4 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 4 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 5 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 5 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 5 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 5 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 5 DIST 6,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 6 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 6 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 6 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 6 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 6 DIST 5,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 6 DIST 6,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 7 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 7 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 7 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 7 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 7 DIST 5,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 7 DIST 6,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 7 DIST 7,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 8 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 8 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 8 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 8 DIST 5,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 8 DIST 6,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 9 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 9 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 9 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PENN HILLS WARD 9 DIST 5,1,1.0
2020,6,2,primary,County Committeeman PINE DIST 1,2,0.9836956521739131
2020,6,2,primary,County Committeeman PINE DIST 2,1,1.0
2020,6,2,primary,County Committeeman PINE DIST 3,1,1.0
2020,6,2,primary,County Committeeman PINE DIST 4,1,1.0
2020,6,2,primary,County Committeeman PINE DIST 5,1,1.0
2020,6,2,primary,County Committeeman PINE DIST 6,1,1.0
2020,6,2,primary,County Committeeman PINE DIST 7,1,1.0
2020,6,2,primary,County Committeeman PINE DIST 8,2,0.9948186528497409
2020,6,2,primary,County Committeeman PITCAIRN DIST 1,1,1.0
2020,6,2,primary,County Committeeman PITCAIRN DIST 2,1,1.0
2020,6,2,primary,County Committeeman PITCAIRN DIST 3,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 2 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 3 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 4 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 4 DIST 8,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 4 DIST 9,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 4 DIST 10,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 4 DIST 11,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 4 DIST 12,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 4 DIST 13,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 4 DIST 16,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 5 DIST 8,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 5 DIST 9,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 5 DIST 10,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 6 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 6 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 6 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 6 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 7 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 7 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 7 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 7 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 7 DIST 5,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 7 DIST 6,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 7 DIST 7,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 7 DIST 8,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 7 DIST 10,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 7 DIST 11,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 7 DIST 12,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 7 DIST 13,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 7 DIST 14,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 8 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 8 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 8 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 8 DIST 5,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 8 DIST 6,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 8 DIST 7,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 8 DIST 8,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 8 DIST 10,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 8 DIST 11,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 9 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 9 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 9 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 9 DIST 5,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 9 DIST 6,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 9 DIST 7,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 9 DIST 8,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 9 DIST 9,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 5,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 7,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 8,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 9,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 10,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 11,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 12,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 13,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 14,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 18,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 10 DIST 19,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 11 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 11 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 11 DIST 6,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 11 DIST 7,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 11 DIST 8,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 11 DIST 9,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 11 DIST 10,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 11 DIST 16,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 11 DIST 17,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 12 DIST 6,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 12 DIST 8,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 12 DIST 15,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 13 DIST 12,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 13 DIST 14,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 13 DIST 15,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 13 DIST 19,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 6,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 7,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 8,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 9,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 10,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 11,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 13,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 14,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 15,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 17,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 18,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 19,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 20,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 21,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 22,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 23,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 25,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 26,2,0.9545454545454546
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 27,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 31,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 32,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 33,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 34,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 35,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 36,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 37,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 38,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 39,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 40,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 14 DIST 41,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 15 DIST 1,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 15 DIST 2,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 15 DIST 3,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 15 DIST 4,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 15 DIST 5,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 15 DIST 6,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 15 DIST 7,1,1.0
2020,6,2,primary,County Committeeman PITTSBURGH WARD 15 DIST 8,1,1.0
